eGRID Subregion,CO2 Factor,CH4 Factor,N2O Factor,,DATA FOR 2021
AKGD (ASCC Alaska Grid),505.48,0.0445,0.0059,,
AKMS (ASCC Miscellaneous),249.16,0.0118,0.0018,,
AZNM (W ECC Southwest),431.96,0.0308,0.0045,,
CAMX (WECC California),205.57,0.015,0.0018,,
ERCT (ERCOT All),393.99,0.0259,0.0036,,
FRCC (FRCC All),390.54,0.0249,0.0032,,
HIMS (HICC Miscellaneous),537.78,0.0649,0.01,,
HIOA (HICC Oahu),768.61,0.0839,0.0127,,
MROE (MRO East),681.57,0.0667,0.01,,
MROW (MRO W est),498.23,0.054,0.0077,,
NEWE (NPCC New England),221.76,0.0349,0.0045,,
NWPP (WECC Northwest),324.41,0.0308,0.0045,,
NYCW (NPCC NYC/W estchester),251.2,0.0095,0.0009,,
NYLI (NPCC Long Island),548.39,0.0712,0.0091,,
NYUP (NPCC Upstate NY),105.37,0.0077,0.0009,,
PRMS (Puerto Rico Miscellaneous),697.31,0.0381,0.0059,,
RFCE (RFC East),315.25,0.024,0.0032,,
RFCM (RFC Michigan),539.46,0.0517,0.0073,,
RFCW (RFC West),484.3,0.0449,0.0064,,
RMPA (W ECC Rockies),563.63,0.0531,0.0077,,
SPNO (SPP North),485.34,0.0508,0.0073,,
SPSO (SPP South),454.5,0.0318,0.0045,,
SRMV (SERC Mississippi Valley),365.96,0.0195,0.0027,,
SRMW (SERC Midwest),718.67,0.0767,0.0113,,
SRSO (SERC South),439.62,0.0322,0.0045,,
SRTV (SERC Tennessee Valley),430.78,0.0395,0.0059,,
SRVC (SERC Virginia/Carolina),306.36,0.0263,0.0036,,
U.S. Average,401.07,0.034,0.005,,
